Date,GRA Purchases,PRGT 1/2/,Totals,Year,SDR USD ER,World GDP in Current Dollars,World GDP in SDRs,,,,,
08/31/2022,93769635059,15254184552,1.09024E+11,2022,0.713784,,,,,,,
12/31/2021,89474552025,14554823681,1.04029E+11,2021,0.690628,9.61001E+13,6.63694E+13,,,,,
12/31/2020,93408630285,12481816684,1.0589E+11,2020,0.722528,8.49068E+13,6.13476E+13,,,,,
12/31/2019,66945509865,6590835450,73536345315,2019,0.719091,8.76529E+13,6.30304E+13,,,,,
12/31/2018,55395611392,6426181029,61821792421,2018,0.701111,8.6413E+13,6.05851E+13,,,,,
12/31/2017,39585385873,6522280669,46107666542,2017,0.748168,8.1404E+13,6.09039E+13,,,,,
12/31/2016,49267630851,6482647937,55750278788,2016,0.720675,7.64656E+13,5.51068E+13,,,,,
12/31/2015,50757840741,6575911158,57333751899,2015,0.697589,7.51793E+13,5.24442E+13,,,,,
12/31/2014,69041563463,6292755583,75334319046,2014,0.650475,7.97088E+13,5.18486E+13,,,,,
12/31/2013,83899249061,6174392682,90073641743,2013,0.649263,7.76072E+13,5.03875E+13,,,,,
12/31/2012,90042348252,5766292503,95808640755,2012,0.648119,7.54881E+13,4.89252E+13,,,,,
12/31/2011,87276915790,5308609594,92585525384,2011,0.646907,7.38538E+13,4.77765E+13,,,,,
12/31/2010,55620104510,4819344134,60439448644,2010,0.638176,6.65961E+13,4.25E+13,,,,,
12/31/2009,37221142436,5079705286,42300847722,2009,0.650992,6.08091E+13,3.95862E+13,,,,,
12/31/2008,17514964723,3972372030,21487336753,2008,0.633525,6.41237E+13,4.0624E+13,,,,,
12/31/2007,6036146757,3796945581,9833092338,2007,0.662789,5.8355E+13,3.86771E+13,,,,,
12/31/2006,9822640239,3844020520,13666660759,2006,0.700111,5.17798E+13,3.62516E+13,,,,,
12/31/2005,28432143237,6282121668,34714264905,2005,0.648207,4.77797E+13,3.09711E+13,,,,,
12/31/2004,55373766674,6766029353,62139796027,2004,0.673049,4.41176E+13,2.96933E+13,,,,,
12/31/2003,65032062712,6880893268,71912955980,2003,0.736561,3.9147E+13,2.88341E+13,,,,,
12/31/2002,63601058794,6868671012,70469729806,2002,0.795716,3.49114E+13,2.77796E+13,,,,,
12/31/2001,53477225409,6424578684,59901804093,2001,0.763938,3.36154E+13,2.56801E+13,,,,,
12/31/2000,42990531049,6331595468,49322126517,2000,0.726696,3.38309E+13,2.45848E+13,,,,,
12/31/1999,51061861875,6434274362,57496136237,1999,0.708771,3.27374E+13,2.32033E+13,,,,,
12/31/1998,60451017051,6288825925,66739842976,1998,0.74452,3.154E+13,2.34821E+13,,,,,
12/31/1997,46559033783,6009867422,52568901205,1997,0.694374,3.16204E+13,2.19564E+13,,,,,
12/31/1996,36127472805,5881609752,42009082557,1996,0.673944,3.17367E+13,2.13887E+13,,,,,
12/31/1995,35929173412,5657438528,41586611940,1995,0.686959,3.10436E+13,2.13257E+13,,,,,
12/31/1994,25611676952,4599768498,30211445450,1994,0.730116,2.78723E+13,2.035E+13,,,,,
12/31/1993,25196745031,3942792899,29139537930,1993,0.730422,2.5822E+13,1.88609E+13,,,,,
12/31/1992,23967172718,3804463796,27771636514,1992,0.697544,2.54061E+13,1.77219E+13,,,,,
12/31/1991,23378573926,3285717796,26664291722,1991,0.701332,2.37596E+13,1.66633E+13,,,,,
12/31/1990,20731851093,2571911617,23303762710,1990,0.758923,2.278E+13,1.72882E+13,,,,,
12/31/1989,22315104224,2334886562,24649990786,1989,0.741322,2.0194E+13,1.49703E+13,,,,,
12/31/1988,24750004884,1773964293,26523969177,1988,0.705937,1.9338E+13,1.36514E+13,,,,,
12/31/1987,28751979125,1866342930,30618322055,1987,0.812477,1.73072E+13,1.40617E+13,,,,,
12/31/1986,33334905644,2013169931,35348075575,1986,0.90809,1.52053E+13,1.38078E+13,,,,,
12/31/1985,35194787249,2470247948,37665035197,1985,1.02297,1.28601E+13,1.31555E+13,,,,,
12/31/1984,34936772393,2769874900,37706647293,1984,0.957595,1.22698E+13,1.17495E+13,,,,,
